,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price,City,Cost of Living avg,Rent avg,Cost of Living Plus Rent avg,Local Purchasing Power avg
14,"Austin-Round Rock, TX",108990.0,109535.0,53810.0,21160.0,311300.0,"Austin, TX",939.6,2214.9,3275.7,9762.4
15,"Raleigh, NC",107676.0,103584.0,52580.0,12560.0,267200.0,"Raleigh, NC",963.6,1589.4,2922.2,8892.9
16,"Houston-The Woodlands-Sugar Land, TX",107672.0,109503.0,54290.0,20400.0,205600.0,"Houston, TX",903.4,1665.8,2852.3,10673.7
17,"Baltimore-Columbia-Towson, MD",107282.0,115006.0,57740.0,16200.0,267800.0,"Baltimore, MD",1039.3,1600.5,3078.7,8399.9
18,"Las Vegas-Henderson-Paradise, NV",107175.0,104495.0,45600.0,3900.0,279900.0,"Las Vegas, NV",965.6,1467.2,2848.1,7702.6
19,"Tucson, AZ",107170.0,101919.0,47610.0,4480.0,206200.0,"Tucson, AZ",909.1,1062.1,130097.8,5164.1
20,"Salt Lake City, UT",106291.0,105334.0,50920.0,9600.0,366000.0,"Salt Lake City, UT",917.7,1625.8,2854.9,8676.4
21,"Richmond, VA",105258.0,101153.0,51330.0,6390.0,229600.0,"Richmond, VA",957.3,1440.7,2814.5,8079.7
22,"Lexington-Fayette, KY",105248.0,95986.0,44900.0,1140.0,178400.0,"Lexington, KY",889.0,1124.0,130097.8,6318.6
23,"Denver-Aurora-Lakewood, CO",105197.0,111824.0,59440.0,26750.0,407900.0,"Denver, CO",1062.0,2125.8,3460.6,8020.4
24,"San Jose-Sunnyvale-Santa Clara, CA",104964.0,137397.0,80480.0,78730.0,1193600.0,"Santa Clara, CA",1263.3,3470.9,4720.8,9589.6
25,"San Jose-Sunnyvale-Santa Clara, CA",104964.0,137397.0,80480.0,78730.0,1193600.0,"San Jose, CA",1041.5,3160.3,4083.6,9711.8
26,"Portland-Vancouver-Hillsboro, OR-WA",104335.0,106108.0,56160.0,15420.0,397400.0,"Portland, OR",1085.5,2031.7,3446.9,6669.7
27,"Portland-Vancouver-Hillsboro, OR-WA",104335.0,106108.0,56160.0,15420.0,397400.0,"Vancouver, WA",968.8,1669.2,2983.6,7780.4
28,"Wichita, KS",103690.0,92595.0,44500.0,1220.0,132900.0,"Wichita, KS",832.5,931.6,2241.4,7357.7
29,"Phoenix-Mesa-Scottsdale, AZ",103177.0,100804.0,50520.0,20440.0,266600.0,"Phoenix, AZ",980.1,1683.8,3015.1,8388.2
30,"Phoenix-Mesa-Scottsdale, AZ",103177.0,100804.0,50520.0,20440.0,266600.0,"Mesa, AZ",899.5,1266.8,2588.6,6381.5
31,"Santa Maria-Santa Barbara, CA",102781.0,112648.0,54890.0,2060.0,602600.0,"Santa Barbara, CA",1342.4,3011.3,4582.1,5791.6
32,"Los Angeles-Long Beach-Anaheim, CA",102188.0,119662.0,57890.0,53190.0,649500.0,"Los Angeles, CA",15809.2,2860.0,4043.7,7782.2
33,"Los Angeles-Long Beach-Anaheim, CA",102188.0,119662.0,57890.0,53190.0,649500.0,"Long Beach, CA",987.2,2194.1,3356.6,6789.4
34,"Boston-Cambridge, MA",102171.0,114227.0,67370.0,54140.0,465000.0,"Boston, MA",1207.6,3005.1,4312.1,7140.5
35,"Orlando-Kissimmee-Sanford, FL",102093.0,100358.0,44930.0,11050.0,238900.0,"Orlando, FL",962.2,1761.4,3029.9,7609.5
36,"Tampa-St. Petersburg-Clearwater, FL",101733.0,100614.0,47750.0,12160.0,213800.0,"Tampa, FL",1071.4,1780.6,3257.8,6064.4
37,"Birmingham-Hoover, AL",101598.0,90219.0,47480.0,2310.0,146000.0,"Birmingham, AL",1113.7,1082.5,2893.8,5240.6
38,"Syracuse, NY",101256.0,98320.0,51400.0,2140.0,135000.0,"Syracuse, NY",1024.8,1201.9,2794.5,4840.1
39,"Washington-Arlington-Alexandria, DC-VA-MD-WV",101188.0,119806.0,70980.0,63760.0,407700.0,"Washington, DC",1183.2,2821.2,4146.1,7517.5
40,"Sacramento--Roseville--Arden-Arcade, CA",100785.0,102801.0,56430.0,9980.0,411500.0,"Sacramento, CA",1100.4,1941.1,3418.0,6258.7
41,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",99955.0,105352.0,56170.0,26370.0,232800.0,"Philadelphia, PA",15809.2,1903.5,3430.6,7133.7
42,"Des Moines-West Des Moines, IA",99878.0,93386.0,52220.0,4060.0,188800.0,"Des Moines, IA",979.6,1153.1,2674.2,6685.7
43,"Omaha-Council Bluffs, NE-IA",99826.0,92339.0,48690.0,5220.0,177200.0,"Omaha, NE",1064.1,1160.0,2845.5,6542.6
44,"Minneapolis-St. Paul-Bloomington, MN-WI",99228.0,101411.0,57420.0,22750.0,270700.0,"Minneapolis, MN",1117.3,1806.7,3365.5,7076.3
45,"Chicago-Naperville-Elgin, IL-IN-WI",98726.0,102082.0,55670.0,42090.0,225900.0,"Chicago, IL",1088.8,2198.4,3559.9,8346.2
46,"Nashville-Davidson--Murfreesboro--Franklin, TN",98623.0,93987.0,48370.0,5290.0,255300.0,"Nashville, TN",1040.2,2054.4,3371.8,6877.7
47,"Oklahoma City, OK",98617.0,90135.0,47120.0,3640.0,146700.0,"Oklahoma City, OK",917.6,1222.3,2596.0,7895.2
48,"Detroit-Warren-Dearborn, MI",98156.0,94033.0,53690.0,28450.0,162200.0,"Detroit, MI",998.7,1407.3,2874.9,6790.6
49,"San Diego-Carlsbad, CA",97974.0,113650.0,58090.0,19130.0,590700.0,"San Diego, CA",1066.3,2640.7,3799.4,7894.6
50,"Pittsburgh, PA",97043.0,91220.0,50070.0,11060.0,143200.0,"Pittsburgh, PA",1163.7,1503.0,3262.0,7126.9
51,"New York-Newark-Jersey City, NY-NJ-PA",96686.0,118247.0,64550.0,98650.0,442500.0,"New York, NY",1412.9,3840.0,5252.9,6170.5
52,"New York-Newark-Jersey City, NY-NJ-PA",96686.0,118247.0,64550.0,98650.0,442500.0,"Jersey City, NJ",1141.5,2419.2,3805.7,9619.2
53,"Milwaukee-Waukesha-West Allis, WI",96580.0,92234.0,51040.0,6710.0,232300.0,"Milwaukee, WI",1011.1,58597.6,2975.8,6737.6
54,"Indianapolis-Carmel-Anderson, IN",96448.0,88732.0,49380.0,8470.0,166800.0,"Indianapolis, IN",948.6,1387.0,2763.0,7499.0
55,"Fort Collins, CO",95969.0,98176.0,51050.0,1190.0,383600.0,"Fort Collins, CO",1027.9,1654.6,3090.8,6191.5
56,"Charleston-North Charleston, SC",95609.0,91976.0,46200.0,2000.0,255100.0,"Charleston, SC",1091.6,1866.6,3352.9,7482.4
57,"Kansas City, MO-KS",95308.0,88732.0,50200.0,12480.0,192900.0,"Kansas City, MO",933.5,1286.4,2668.5,7848.9
58,"Tulsa, OK",95187.0,86049.0,46170.0,1770.0,138200.0,"Tulsa, OK",881.0,1110.5,2452.0,8148.2
59,"Rochester, NY",94819.0,93112.0,50830.0,4950.0,146600.0,"Rochester, NY",1011.2,1118.6,2714.7,6177.9
60,"Louisville/Jefferson County, KY-IN",94320.0,85737.0,45740.0,4950.0,162300.0,"Louisville, KY",956.7,1238.0,2683.7,6766.0
61,"Albany-Schenectady-Troy, NY",94051.0,94615.0,54400.0,2980.0,217600.0,"Albany, NY",1010.1,1332.5,2849.2,8006.2
62,"Buffalo-Cheektowaga-Niagara Falls, NY",93735.0,88955.0,49420.0,3170.0,159300.0,"Buffalo, NY",1049.7,1135.1,2800.8,7673.6
63,"Little Rock-North Little Rock-Conway, AR",93194.0,84434.0,45020.0,1810.0,140600.0,"Little Rock, AR",837.3,983.0,2283.9,8087.7
64,"Boise City, ID",93112.0,87712.0,45470.0,2390.0,287300.0,"Boise, ID",964.9,1662.3,2971.5,5098.7
65,"Ann Arbor, MI",92683.0,94258.0,55130.0,2650.0,290500.0,"Ann Arbor, MI",993.0,1842.0,3142.3,9872.2
66,"Akron, OH",92207.0,83355.0,48910.0,2590.0,141900.0,"Akron, OH",878.8,879.3,2299.7,6348.8
67,"Jacksonville, FL",91568.0,87355.0,46920.0,4530.0,214100.0,"Jacksonville, FL",982.1,1358.2,2810.8,8904.0
68,"Albuquerque, NM",91010.0,87097.0,46860.0,1770.0,199500.0,"Albuquerque, NM",896.4,1302.1,2605.4,7555.2
69,"Spokane-Spokane Valley, WA",90269.0,85575.0,49200.0,1120.0,243200.0,"Spokane, WA",962.3,1347.4,2764.6,6933.2
70,"Madison, WI",90238.0,87350.0,52890.0,8770.0,257700.0,"Madison, WI",951.2,1488.0,2832.9,8153.1
71,"Memphis, TN-MS-AR",89921.0,81918.0,44610.0,1590.0,139900.0,"Memphis, TN",880.1,1340.5,2597.5,6784.5
72,"Cleveland-Elyria, OH",89040.0,80314.0,50470.0,8220.0,146500.0,"Cleveland, OH",1065.5,1355.1,2973.1,7732.9
73,"Miami-Fort Lauderdale-West Palm Beach, FL",88249.0,95662.0,48240.0,13740.0,283400.0,"Miami, FL",1102.1,2494.4,3775.8,5782.4
74,"Miami-Fort Lauderdale-West Palm Beach, FL",88249.0,95662.0,48240.0,13740.0,283400.0,"Fort Lauderdale, FL",1086.0,2171.9,3537.8,6252.0
75,"Eugene, OR",85912.0,84021.0,47320.0,1220.0,293900.0,"Eugene, OR",984.0,1448.0,2871.7,5443.0
76,"Urban Honolulu, HI",72811.0,90796.0,54870.0,1590.0,678200.0,"Honolulu, HI",1464.5,2498.7,4494.4,5506.6
